"Driver.Age.Mean","Driver.Age.Median","Driver.Age.Sum","Total.Injured.Mean","Total.Injured.Median","Total.Injured.Sum","Total.Killed.Mean","Total.Killed.Median","Total.Killed.Sum","Total.Vehicles.Involve.Mean","Total.Vehicles.Involve.Median","Total.Vehicles.Involve.Sum","Crash.Hour.Mean","Crash.Hour.Median","Crash.Hour.Sum","Driver.Sex.M","Driver.Sex.F","Driver.Sex.M.pct","Driver.Sex.F.pct","Alcohol.Involved.Y","Alcohol.Involved.N","Alcohol.Involved.Y.pct","Alcohol.Involved.N.pct","Cell.Phone.In.Use.Flag.Y","Cell.Phone.In.Use.Flag.N","Cell.Phone.In.Use.Flag.Y.pct","Cell.Phone.In.Use.Flag.N.pct","Crash.Day.Of.Week.M","Crash.Day.Of.Week.TU","Crash.Day.Of.Week.W","Crash.Day.Of.Week.TH","Crash.Day.Of.Week.F","Crash.Day.Of.Week.SA","Crash.Day.Of.Week.S","Crash.Day.Of.Week.M.pct","Crash.Day.Of.Week.TU.pct","Crash.Day.Of.Week.W.pct","Crash.Day.Of.Week.TH.pct","Crash.Day.Of.Week.F.pct","Crash.Day.Of.Week.SA.pct","Crash.Day.Of.Week.S.pct","Crash.Weekend.TRUE","Crash.Weekend.FALSE","Crash.Weekend.TRUE.pct","Crash.Weekend.FALSE.pct","Crash.Weekday.TRUE","Crash.Weekday.FALSE","Crash.Weekday.TRUE.pct","Crash.Weekday.FALSE.pct","Latitude","Longitude","Crash.Count","Crash.Count.Rank"
33.6951219512195,28.5,2763,0.414634146341463,0,34,0,0,0,2.31707317073171,2,190,13.6666666666667,14,1066,39,43,47.561,52.439,1,81,1.2195,98.7805,0,82,0,100,4,13,29,13,16,6,1,4.878,15.8537,35.3659,15.8537,19.5122,7.3171,1.2195,6,76,7.3171,92.6829,26,56,31.7073,68.2927,"40.2575","-74.6198",82,737870
38.4625,39,3077,0.135802469135802,0,11,0,0,0,2.35802469135802,2,191,13.0810810810811,14,968,44,36,55,45,0,81,0,100,4,77,4.9383,95.0617,12,14,10,17,10,7,11,14.8148,17.284,12.3457,20.9877,12.3457,8.642,13.5802,7,74,8.642,91.358,31,50,38.2716,61.7284,"40.3082","-74.6175",81,737869
40.9615384615385,41,3195,0.55,0,44,0,0,0,2.275,2,182,11.4929577464789,12,816,42,36,53.8462,46.1538,0,80,0,100,0,80,0,100,10,9,20,12,14,5,10,12.5,11.25,25,15,17.5,6.25,12.5,5,75,6.25,93.75,21,59,26.25,73.75,"40.3329","-74.6362",80,737868
38.3714285714286,34.5,2686,0.459459459459459,0,34,0,0,0,2.32432432432432,2,172,14.5373134328358,16,974,44,28,61.1111,38.8889,0,74,0,100,0,74,0,100,10,18,14,6,6,16,4,13.5135,24.3243,18.9189,8.1081,8.1081,21.6216,5.4054,16,58,21.6216,78.3784,24,50,32.4324,67.5676,"40.31","-74.6639",74,737867
39.2647058823529,37,2670,0.295774647887324,0,21,0,0,0,2.1830985915493,2,155,11.8169014084507,11,839,29,38,43.2836,56.7164,0,71,0,100,4,67,5.6338,94.3662,10,7,15,16,13,7,3,14.0845,9.8592,21.1268,22.5352,18.3099,9.8592,4.2254,7,64,9.8592,90.1408,23,48,32.3944,67.6056,"40.2585","-74.6159",71,737866
41.2537313432836,40,2764,0.205882352941176,0,14,0,0,0,2.08823529411765,2,142,14.7941176470588,15,1006,20,47,29.8507,70.1493,0,68,0,100,0,68,0,100,7,22,6,9,8,8,8,10.2941,32.3529,8.8235,13.2353,11.7647,11.7647,11.7647,8,60,11.7647,88.2353,31,37,45.5882,54.4118,"40.3019","-74.6829",68,737865
39.4444444444444,40,2485,0.196969696969697,0,13,0,0,0,1.84848484848485,2,122,12.3230769230769,12,801,39,26,60,40,2,64,3.0303,96.9697,2,64,3.0303,96.9697,5,16,15,10,6,2,12,7.5758,24.2424,22.7273,15.1515,9.0909,3.0303,18.1818,2,64,3.0303,96.9697,26,40,39.3939,60.6061,"40.32","-74.6234",66,737864
41.45,44,2487,0.258064516129032,0,16,0,0,0,2.03225806451613,2,126,13.0322580645161,12.5,808,33,29,53.2258,46.7742,0,62,0,100,0,62,0,100,7,9,10,16,10,8,2,11.2903,14.5161,16.129,25.8065,16.129,12.9032,3.2258,8,54,12.9032,87.0968,25,37,40.3226,59.6774,"40.3071","-74.6212",62,737863
38.0943396226415,37,2019,0.321428571428571,0,18,0,0,0,2,2,112,13.3571428571429,12.5,748,23,31,42.5926,57.4074,2,54,3.5714,96.4286,0,56,0,100,16,10,4,6,8,8,4,28.5714,17.8571,7.1429,10.7143,14.2857,14.2857,7.1429,8,48,14.2857,85.7143,16,40,28.5714,71.4286,"40.2904","-74.6767",56,737861.5
38.3529411764706,37,1956,0.160714285714286,0,9,0,0,0,2.21428571428571,2,124,13.6603773584906,13,724,35,18,66.0377,33.9623,5,51,8.9286,91.0714,0,56,0,100,12,9,4,14,10,4,3,21.4286,16.0714,7.1429,25,17.8571,7.1429,5.3571,4,52,7.1429,92.8571,23,33,41.0714,58.9286,"40.3184","-74.6538",56,737861.5
